"Fresh biscuits, rolls, muffins",2009,154.89236
"Fresh biscuits, rolls, muffins",2010,153.87732
"Fresh biscuits, rolls, muffins",2011,163.97264
"Fresh biscuits, rolls, muffins",2012,167.7674
"Fresh sweetrolls, coffeecakes, doughnuts",1997,175.076923077
"Fresh sweetrolls, coffeecakes, doughnuts",1998,175.461538462
"Fresh sweetrolls, coffeecakes, doughnuts",1999,174.992307692
"Fresh sweetrolls, coffeecakes, doughnuts",2000,182.276923077
"Fresh sweetrolls, coffeecakes, doughnuts",2001,192.030769231
"Fresh sweetrolls, coffeecakes, doughnuts",2002,197.538461538
"Fresh sweetrolls, coffeecakes, doughnuts",2003,201.338461538
"Fresh sweetrolls, coffeecakes, doughnuts",2004,206.715384615
"Fresh sweetrolls, coffeecakes, doughnuts",2005,212.9
"Fresh sweetrolls, coffeecakes, doughnuts",2006,221.753846154
"Fresh sweetrolls, coffeecakes, doughnuts",2007,227.966307692
"Fresh sweetrolls, coffeecakes, doughnuts",2008,245.518307692
"Fresh sweetrolls, coffeecakes, doughnuts",2009,251.864384615
"Fresh sweetrolls, coffeecakes, doughnuts",2010,253.147461538
"Fresh sweetrolls, coffeecakes, doughnuts",2011,263.789846154
"Fresh sweetrolls, coffeecakes, doughnuts",2012,276.174615385
"Frozen and refrigerated bakery products, pies, tarts, turnovers",1997,178.032
"Frozen and refrigerated bakery products, pies, tarts, turnovers",1998,187.168
"Frozen and refrigerated bakery products, pies, tarts, turnovers",1999,189.192
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2000,191.696
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2001,201.792
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2002,207.756
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2003,211.4
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2004,214.368
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2005,215.74
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2006,218.628
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2007,226.3206
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2008,242.66832
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2009,255.77828
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2010,257.50236
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2011,262.89488
"Frozen and refrigerated bakery products, pies, tarts, turnovers",2012,268.34024
"Gasoline, unleaded midgrade",1997,110.402564103
"Gasoline, unleaded midgrade",1998,95.4246428571
"Gasoline, unleaded midgrade",1999,103.778214286
"Gasoline, unleaded midgrade",2000,131.959285714
"Gasoline, unleaded midgrade",2001,127.686607143
"Gasoline, unleaded midgrade",2002,119.394849023
"Gasoline, unleaded midgrade",2003,138.391296625
"Gasoline, unleaded midgrade",2004,162.397690941
"Gasoline, unleaded midgrade",2005,197.446358792
"Gasoline, unleaded midgrade",2006,223.022557726
"Gasoline, unleaded midgrade",2007,241.268424512
"Gasoline, unleaded midgrade",2008,280.961106572
"Gasoline, unleaded midgrade",2009,206.35839254
"Gasoline, unleaded midgrade",2010,243.256319716
"Gasoline, unleaded midgrade",2011,306.192362345
"Gasoline, unleaded midgrade",2012,317.1024803
"Gasoline, unleaded premium",1997,108.735381356
"Gasoline, unleaded premium",1998,95.8046428571
"Gasoline, unleaded premium",1999,103.94875
"Gasoline, unleaded premium",2000,130.198571429
"Gasoline, unleaded premium",2001,126.559285714
"Gasoline, unleaded premium",2002,118.767850799
"Gasoline, unleaded premium",2003,136.670692718
"Gasoline, unleaded premium",2004,159.307104796
"Gasoline, unleaded premium",2005,192.38401421
"Gasoline, unleaded premium",2006,216.302841918
"Gasoline, unleaded premium",2007,233.779186501
"Gasoline, unleaded premium",2008,271.248737123
"Gasoline, unleaded premium",2009,201.71008881
"Gasoline, unleaded premium",2010,235.992484902
"Gasoline, unleaded premium",2011,294.560541741
"Gasoline, unleaded premium",2012,304.818412758
"Gasoline, unleaded regular",1997,106.172881356
"Gasoline, unleaded regular",1998,91.3398214286
"Gasoline, unleaded regular",1999,100.429464286
"Gasoline, unleaded regular",2000,130.904642857
"Gasoline, unleaded regular",2001,126.694285714
"Gasoline, unleaded regular",2002,117.905328597
"Gasoline, unleaded regular",2003,138.094493783
"Gasoline, unleaded regular",2004,163.33285968
"Gasoline, unleaded regular",2005,199.954529307
"Gasoline, unleaded regular",2006,226.372646536
"Gasoline, unleaded regular",2007,244.660239787
"Gasoline, unleaded regular",2008,285.272676732
"Gasoline, unleaded regular",2009,206.614019538
"Gasoline, unleaded regular",2010,244.976220249
"Gasoline, unleaded regular",2011,310.441861456
"Gasoline, unleaded regular",2012,320.707140713
"Hair, dental, shaving, and miscellaneous personal care products",1997,100.0
"Hair, dental, shaving, and miscellaneous personal care products",1998,100.7
"Hair, dental, shaving, and miscellaneous personal care products",1999,101.615384615
"Hair, dental, shaving, and miscellaneous personal care products",2000,103.253846154
"Hair, dental, shaving, and miscellaneous personal care products",2001,104.353846154
"Hair, dental, shaving, and miscellaneous personal care products",2002,104.423076923
"Hair, dental, shaving, and miscellaneous personal care products",2003,102.461538462
"Hair, dental, shaving, and miscellaneous personal care products",2004,102.1
"Hair, dental, shaving, and miscellaneous personal care products",2005,101.753846154
"Hair, dental, shaving, and miscellaneous personal care products",2006,102.553846154
"Hair, dental, shaving, and miscellaneous personal care products",2007,103.605692308
"Hair, dental, shaving, and miscellaneous personal care products",2008,104.299
"Hair, dental, shaving, and miscellaneous personal care products",2009,105.371230769
"Hair, dental, shaving, and miscellaneous personal care products",2010,104.251
"Hair, dental, shaving, and miscellaneous personal care products",2011,102.396692308
"Hair, dental, shaving, and miscellaneous personal care products",2012,103.111
"Ham, excluding canned",1997,166.784
"Ham, excluding canned",1998,160.224
"Ham, excluding canned",1999,157.212
"Ham, excluding canned",2000,164.9
"Ham, excluding canned",2001,170.292
"Ham, excluding canned",2002,172.724
"Ham, excluding canned",2003,176.276
"Ham, excluding canned",2004,183.588
"Ham, excluding canned",2005,197.94
"Ham, excluding canned",2006,198.628
"Ham, excluding canned",2007,199.28604
"Ham, excluding canned",2008,204.85832
"Ham, excluding canned",2009,204.34816
"Ham, excluding canned",2010,211.82844
"Ham, excluding canned",2011,225.91456
"Ham, excluding canned",2012,227.74632
"Housing at school, excluding board",1997,223.88
"Housing at school, excluding board",1998,233.496
"Housing at school, excluding board",1999,243.568
"Housing at school, excluding board",2000,253.756
"Housing at school, excluding board",2001,265.34
"Housing at school, excluding board",2002,280.136
"Housing at school, excluding board",2003,296.772
"Housing at school, excluding board",2004,315.376
"Housing at school, excluding board",2005,335.088
"Housing at school, excluding board",2006,352.744
"Housing at school, excluding board",2007,371.12456
"Housing at school, excluding board",2008,388.83808
"Housing at school, excluding board",2009,408.38712
"Housing at school, excluding board",2010,427.07308
"Housing at school, excluding board",2011,444.46864
"Housing at school, excluding board",2012,462.02432
"Information technology, hardware and services",1997,50.0769230769
"Information technology, hardware and services",1998,39.8692307692
"Information technology, hardware and services",1999,30.5384615385
"Information technology, hardware and services",2000,25.8923076923
"Information technology, hardware and services",2001,21.3384615385
"Information technology, hardware and services",2002,18.2846153846
"Information technology, hardware and services",2003,16.1384615385
"Information technology, hardware and services",2004,14.8076923077
"Information technology, hardware and services",2005,13.6076923077
"Information technology, hardware and services",2006,12.44
"Information technology, hardware and services",2007,10.59656
"Information technology, hardware and services",2008,10.06084
"Information technology, hardware and services",2009,9.6716
"Information technology, hardware and services",2010,9.41296
"Information technology, hardware and services",2011,9.02964
"Information technology, hardware and services",2012,8.73828
"Living room, kitchen, and dining room furniture",1997,100.0
"Living room, kitchen, and dining room furniture",1998,101.6
"Living room, kitchen, and dining room furniture",1999,101.815384615
"Living room, kitchen, and dining room furniture",2000,102.4
"Living room, kitchen, and dining room furniture",2001,101.476923077
"Living room, kitchen, and dining room furniture",2002,98.6384615385
"Living room, kitchen, and dining room furniture",2003,97.1615384615
"Living room, kitchen, and dining room furniture",2004,95.9153846154
"Living room, kitchen, and dining room furniture",2005,92.6538461538
"Living room, kitchen, and dining room furniture",2006,92.7846153846
"Living room, kitchen, and dining room furniture",2007,91.6260769231
"Living room, kitchen, and dining room furniture",2008,90.469
"Living room, kitchen, and dining room furniture",2009,90.7108461538
"Living room, kitchen, and dining room furniture",2010,88.9321538462
"Living room, kitchen, and dining room furniture",2011,88.8635384615
"Living room, kitchen, and dining room furniture",2012,90.7678461538
"Meats, poultry, and fish",1997,149.0
"Meats, poultry, and fish",1998,147.764
"Meats, poultry, and fish",1999,148.796
"Meats, poultry, and fish",2000,155.492
"Meats, poultry, and fish",2001,162.44
"Meats, poultry, and fish",2002,163.18
"Meats, poultry, and fish",2003,169.724
"Meats, poultry, and fish",2004,182.288
"Meats, poultry, and fish",2005,186.656
"Meats, poultry, and fish",2006,188.192
"Meats, poultry, and fish",2007,195.38316
"Meats, poultry, and fish",2008,203.5664
"Meats, poultry, and fish",2009,204.62804
"Meats, poultry, and fish",2010,208.55404
"Meats, poultry, and fish",2011,223.89352
"Meats, poultry, and fish",2012,231.89628
"Meats, poultry, fish, and eggs",1997,148.532142857
"Meats, poultry, fish, and eggs",1998,147.308
"Meats, poultry, fish, and eggs",1999,147.948
"Meats, poultry, fish, and eggs",2000,154.5
"Meats, poultry, fish, and eggs",2001,161.348
"Meats, poultry, fish, and eggs",2002,162.132
"Meats, poultry, fish, and eggs",2003,169.304
"Meats, poultry, fish, and eggs",2004,181.732
"Meats, poultry, fish, and eggs",2005,184.74
"Meats, poultry, fish, and eggs",2006,186.556
"Meats, poultry, fish, and eggs",2007,195.62
"Meats, poultry, fish, and eggs",2008,204.6564
"Meats, poultry, fish, and eggs",2009,203.80716
"Meats, poultry, fish, and eggs",2010,207.69096
"Meats, poultry, fish, and eggs",2011,223.16776
"Meats, poultry, fish, and eggs",2012,231.05136
"Men's suits, sport coats, and outerwear",1997,135.052
"Men's suits, sport coats, and outerwear",1998,137.02
"Men's suits, sport coats, and outerwear",1999,135.404
"Men's suits, sport coats, and outerwear",2000,132.992
"Men's suits, sport coats, and outerwear",2001,128.524
"Men's suits, sport coats, and outerwear",2002,128.64
"Men's suits, sport coats, and outerwear",2003,126.868
"Men's suits, sport coats, and outerwear",2004,125.524
"Men's suits, sport coats, and outerwear",2005,126.252
"Men's suits, sport coats, and outerwear",2006,121.416
"Men's suits, sport coats, and outerwear",2007,120.18508
"Men's suits, sport coats, and outerwear",2008,120.6662
"Men's suits, sport coats, and outerwear",2009,114.52884
"Men's suits, sport coats, and outerwear",2010,116.205
"Men's suits, sport coats, and outerwear",2011,115.05072
"Men's suits, sport coats, and outerwear",2012,117.3876
"Motor oil, coolant, and fluids",1997,131.692307692
"Motor oil, coolant, and fluids",1998,131.092307692
"Motor oil, coolant, and fluids",1999,131.076923077
"Motor oil, coolant, and fluids",2000,137.984615385
"Motor oil, coolant, and fluids",2001,147.207692308
"Motor oil, coolant, and fluids",2002,153.192307692
"Motor oil, coolant, and fluids",2003,157.123076923
"Motor oil, coolant, and fluids",2004,165.330769231
"Motor oil, coolant, and fluids",2005,182.761538462
"Motor oil, coolant, and fluids",2006,212.692307692
"Motor oil, coolant, and fluids",2007,231.137692308
"Motor oil, coolant, and fluids",2008,269.078153846
"Motor oil, coolant, and fluids",2009,294.293
"Motor oil, coolant, and fluids",2010,305.384076923
"Motor oil, coolant, and fluids",2011,334.564307692
"Motor oil, coolant, and fluids",2012,359.596076923
"Moving, storage, freight expense",1997,100.0
"Moving, storage, freight expense",1998,102.18
"Moving, storage, freight expense",1999,105.056
"Moving, storage, freight expense",2000,109.164
"Moving, storage, freight expense",2001,113.696
"Moving, storage, freight expense",2002,116.572
"Moving, storage, freight expense",2003,119.256
"Moving, storage, freight expense",2004,120.836
"Moving, storage, freight expense",2005,126.368
"Moving, storage, freight expense",2006,129.5
"Moving, storage, freight expense",2007,129.37208
"Moving, storage, freight expense",2008,129.86608
"Moving, storage, freight expense",2009,126.39876
"Moving, storage, freight expense",2010,124.89992
"Moving, storage, freight expense",2011,124.50884
"Moving, storage, freight expense",2012,128.45692
"Nondurables less food, beverages, and apparel",1997,141.3352
"Nondurables less food, beverages, and apparel",1998,133.904285714
"Nondurables less food, beverages, and apparel",1999,142.539285714
"Nondurables less food, beverages, and apparel",2000,158.355
"Nondurables less food, beverages, and apparel",2001,159.365
